Pathway	Related Pathway
hsa04211	hsa04064
hsa04211	hsa04068
hsa04211	hsa04115
hsa04211	hsa04140
hsa04211	hsa04150
hsa04211	hsa04151
hsa04211	hsa04152
hsa04211	hsa04910
hsa04213	hsa04068
hsa04213	hsa04150
hsa04213	hsa04151
hsa04213	hsa04152
hsa04213	hsa04211
hsa04213	hsa04910
hsa04710	hsa04010
hsa04710	hsa04120
hsa04710	hsa04713
hsa04713	hsa04010
hsa04714	hsa00020
hsa04714	hsa00190
hsa04714	hsa04010
hsa04714	hsa04022
hsa04714	hsa04024
hsa04714	hsa04150
hsa04714	hsa04923
hsa05200	hsa03320
hsa05200	hsa04010
hsa05200	hsa04020
hsa05200	hsa04024
hsa05200	hsa04060
hsa05200	hsa04066
hsa05200	hsa04110
hsa05200	hsa04115
hsa05200	hsa04150
hsa05200	hsa04151
hsa05200	hsa04210
hsa05200	hsa04310
hsa05200	hsa04330
hsa05200	hsa04340
hsa05200	hsa04350
hsa05200	hsa04370
hsa05200	hsa04510
hsa05200	hsa04512
hsa05200	hsa04520
hsa05200	hsa04630
hsa05200	hsa04915
hsa05202	hsa04115
hsa05202	hsa05211
hsa05202	hsa05215
hsa05202	hsa05216
hsa05202	hsa05221
hsa05206	hsa05210
hsa05206	hsa05214
hsa05206	hsa05215
hsa05206	hsa05219
hsa05206	hsa05222
hsa05206	hsa05223
hsa05205	hsa04010
hsa05205	hsa04020
hsa05205	hsa04066
hsa05205	hsa04150
hsa05205	hsa04151
hsa05205	hsa04210
hsa05205	hsa04310
hsa05205	hsa04340
hsa05205	hsa04350
hsa05205	hsa04370
hsa05205	hsa04510
hsa05205	hsa04520
hsa05205	hsa04810
hsa05204	hsa00980
hsa05204	hsa05210
hsa05204	hsa05211
hsa05204	hsa05215
hsa05204	hsa05219
hsa05204	hsa05221
hsa05204	hsa05222
hsa05204	hsa05223
hsa05204	hsa05224
hsa05204	hsa05225
hsa05204	hsa05226
hsa05207	hsa00980
hsa05207	hsa03320
hsa05207	hsa04010
hsa05207	hsa04024
hsa05207	hsa04150
hsa05207	hsa04151
hsa05207	hsa04370
hsa05207	hsa04915
hsa05207	hsa05204
hsa05207	hsa05206
hsa05207	hsa05208
hsa05208	hsa00190
hsa05208	hsa00980
hsa05208	hsa04010
hsa05208	hsa04064
hsa05208	hsa04066
hsa05208	hsa04151
hsa05208	hsa04370
hsa05208	hsa05211
hsa05208	hsa05215
hsa05208	hsa05219
hsa05208	hsa05221
hsa05208	hsa05222
hsa05208	hsa05223
hsa05208	hsa05224
hsa05208	hsa05225
hsa05203	hsa03022
hsa05203	hsa03320
hsa05203	hsa04010
hsa05203	hsa04062
hsa05203	hsa04064
hsa05203	hsa04110
hsa05203	hsa04115
hsa05203	hsa04142
hsa05203	hsa04151
hsa05203	hsa04210
hsa05203	hsa04630
hsa05203	hsa04662
hsa05203	hsa04810
hsa05203	hsa05160
hsa05203	hsa05161
hsa05203	hsa05165
hsa05203	hsa05166
hsa05203	hsa05167
hsa05203	hsa05169
hsa05230	hsa00010
hsa05230	hsa00020
hsa05230	hsa00030
hsa05230	hsa00190
hsa05230	hsa00250
hsa05230	hsa00260
hsa05230	hsa00330
hsa05230	hsa04010
hsa05230	hsa04066
hsa05230	hsa04150
hsa05230	hsa04151
hsa05231	hsa00564
hsa05231	hsa04010
hsa05231	hsa04150
hsa05231	hsa04151
hsa05231	hsa04810
hsa05235	hsa04010
hsa05235	hsa04020
hsa05235	hsa04066
hsa05235	hsa04151
hsa05235	hsa04514
hsa05235	hsa04620
hsa05235	hsa04660
hsa05210	hsa04010
hsa05210	hsa04012
hsa05210	hsa04110
hsa05210	hsa04115
hsa05210	hsa04150
hsa05210	hsa04151
hsa05210	hsa04210
hsa05210	hsa04310
hsa05210	hsa04350
hsa05212	hsa04010
hsa05212	hsa04110
hsa05212	hsa04115
hsa05212	hsa04151
hsa05212	hsa04210
hsa05212	hsa04350
hsa05212	hsa04370
hsa05212	hsa04630
hsa05225	hsa04010
hsa05225	hsa04020
hsa05225	hsa04110
hsa05225	hsa04115
hsa05225	hsa04151
hsa05225	hsa04310
hsa05225	hsa04350
hsa05225	hsa04932
hsa05225	hsa04936
hsa05225	hsa05160
hsa05225	hsa05161
hsa05226	hsa04010
hsa05226	hsa04110
hsa05226	hsa04115
hsa05226	hsa04151
hsa05226	hsa04310
hsa05226	hsa04350
hsa05226	hsa04520
hsa05226	hsa05120
hsa05214	hsa04010
hsa05214	hsa04020
hsa05214	hsa04060
hsa05214	hsa04110
hsa05214	hsa04115
hsa05214	hsa04150
hsa05216	hsa03320
hsa05216	hsa04010
hsa05216	hsa04115
hsa05216	hsa04310
hsa05216	hsa04520
hsa05221	hsa04010
hsa05221	hsa04110
hsa05221	hsa04150
hsa05221	hsa04151
hsa05221	hsa04210
hsa05221	hsa04630
hsa05221	hsa04640
hsa05220	hsa04010
hsa05220	hsa04110
hsa05220	hsa04115
hsa05220	hsa04151
hsa05220	hsa04210
hsa05220	hsa04350
hsa05220	hsa04640
hsa05217	hsa04110
hsa05217	hsa04115
hsa05217	hsa04310
hsa05217	hsa04340
hsa05217	hsa04350
hsa05218	hsa04010
hsa05218	hsa04110
hsa05218	hsa04115
hsa05218	hsa04151
hsa05218	hsa04520
hsa05218	hsa04916
hsa05211	hsa00020
hsa05211	hsa04010
hsa05211	hsa04066
hsa05211	hsa04120
hsa05211	hsa04350
hsa05211	hsa04370
hsa05219	hsa04010
hsa05219	hsa04012
hsa05219	hsa04110
hsa05219	hsa04115
hsa05219	hsa04370
hsa05219	hsa04520
hsa05215	hsa00140
hsa05215	hsa04010
hsa05215	hsa04060
hsa05215	hsa04110
hsa05215	hsa04115
hsa05215	hsa04151
hsa05215	hsa04210
hsa05213	hsa04010
hsa05213	hsa04060
hsa05213	hsa04110
hsa05213	hsa04115
hsa05213	hsa04151
hsa05213	hsa04310
hsa05213	hsa04520
hsa05224	hsa03440
hsa05224	hsa04010
hsa05224	hsa04110
hsa05224	hsa04115
hsa05224	hsa04151
hsa05224	hsa04310
hsa05224	hsa04330
hsa05224	hsa04915
hsa05222	hsa04110
hsa05222	hsa04115
hsa05222	hsa04151
hsa05222	hsa04210
hsa05222	hsa04510
hsa05222	hsa04512
hsa05223	hsa04010
hsa05223	hsa04014
hsa05223	hsa04020
hsa05223	hsa04110
hsa05223	hsa04115
hsa05223	hsa04151
hsa05166	hsa03013
hsa05166	hsa04010
hsa05166	hsa04064
hsa05166	hsa04110
hsa05166	hsa04115
hsa05166	hsa04151
hsa05166	hsa04210
hsa05166	hsa04350
hsa05166	hsa04612
hsa05166	hsa04660
hsa05166	hsa04668
hsa05170	hsa03050
hsa05170	hsa04010
hsa05170	hsa04020
hsa05170	hsa04064
hsa05170	hsa04110
hsa05170	hsa04141
hsa05170	hsa04142
hsa05170	hsa04150
hsa05170	hsa04151
hsa05170	hsa04210
hsa05170	hsa04612
hsa05170	hsa04620
hsa05170	hsa04623
hsa05170	hsa04668
hsa05170	hsa04810
hsa05161	hsa04010
hsa05161	hsa04064
hsa05161	hsa04110
hsa05161	hsa04115
hsa05161	hsa04151
hsa05161	hsa04210
hsa05161	hsa04620
hsa05161	hsa04622
hsa05161	hsa04630
hsa05160	hsa03320
hsa05160	hsa04010
hsa05160	hsa04144
hsa05160	hsa04210
hsa05160	hsa04514
hsa05160	hsa04620
hsa05160	hsa04622
hsa05160	hsa04630
hsa05160	hsa04668
hsa05171	hsa03015
hsa05171	hsa04144
hsa05171	hsa04270
hsa05171	hsa04610
hsa05171	hsa04611
hsa05171	hsa04613
hsa05171	hsa04614
hsa05171	hsa04620
hsa05171	hsa04621
hsa05171	hsa04622
hsa05171	hsa04623
hsa05171	hsa04630
