pathway,rank,gene,hub_score,degree,betweenness,expr_variance,pathway_connectivity
Other types of O-glycan biosynthesis - Homo sapiens (human),2,POMT2,0.202309,1,0.000000,0.231540,1
Other types of O-glycan biosynthesis - Homo sapiens (human),3,POFUT2,0.201860,1,0.000000,0.186508,1
Other types of O-glycan biosynthesis - Homo sapiens (human),4,POGLUT1,0.200000,1,0.000000,0.000000,1
Other types of O-glycan biosynthesis - Homo sapiens (human),5,B3GLCT,0.200000,1,0.000000,0.000000,1
Oxidative phosphorylation - Homo sapiens (human),1,COX5A,0.414985,13,0.040816,0.274765,13
Oxidative phosphorylation - Homo sapiens (human),2,UQCRB,0.251877,8,0.011054,0.241320,8
Oxidative phosphorylation - Homo sapiens (human),3,NDUFV2,0.218754,7,0.000000,0.337794,7
Oxidative phosphorylation - Homo sapiens (human),4,NDUFB9,0.218689,7,0.000000,0.331271,7
Oxidative phosphorylation - Homo sapiens (human),5,COX6A1,0.217737,7,0.000000,0.235802,7
Pentose and glucuronate interconversions - Homo sapiens (human),1,UGT2B15,0.074157,0,0.000000,7.434949,0
Pentose and glucuronate interconversions - Homo sapiens (human),2,AKR1B10,0.069991,0,0.000000,7.017276,0
Pentose and glucuronate interconversions - Homo sapiens (human),3,UGT1A10,0.055657,0,0.000000,5.580102,0
Pentose and glucuronate interconversions - Homo sapiens (human),4,UGT1A8,0.055626,0,0.000000,5.577015,0
Pentose and glucuronate interconversions - Homo sapiens (human),5,UGT1A9,0.052099,0,0.000000,5.223369,0
Pentose phosphate pathway - Homo sapiens (human),1,PFKM,0.404011,1,0.000000,0.402092,1
Pentose phosphate pathway - Homo sapiens (human),2,PGM2,0.402219,1,0.000000,0.222457,1
Pentose phosphate pathway - Homo sapiens (human),3,ALDOB,0.069765,0,0.000000,6.994548,0
Pentose phosphate pathway - Homo sapiens (human),4,RGN,0.040559,0,0.000000,4.066402,0
Pentose phosphate pathway - Homo sapiens (human),5,TKTL1,0.019744,0,0.000000,1.979532,0
Phenylalanine metabolism - Homo sapiens (human),1,MAOB,0.442526,1,0.000000,4.263673,1
Phenylalanine metabolism - Homo sapiens (human),2,MAOA,0.417682,1,0.000000,1.772818,1
Phenylalanine metabolism - Homo sapiens (human),3,PAH,0.082596,0,0.000000,8.281049,0
Phenylalanine metabolism - Homo sapiens (human),4,ALDH3B2,0.038177,0,0.000000,3.827621,0
Phenylalanine metabolism - Homo sapiens (human),5,DDC,0.033884,0,0.000000,3.397140,0
Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human),1,PAH,0.082596,0,0.000000,8.281049,0
Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human),2,TAT,0.009832,0,0.000000,0.985760,0
Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human),3,GOLT1B,0.002032,0,0.000000,0.203734,0
Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human),4,GOT2,0.001831,0,0.000000,0.183600,0
Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human),5,GOT1L1,0.000162,0,0.000000,0.016235,0
Phosphonate and phosphinate metabolism - Homo sapiens (human),1,PCYT1B,0.020689,0,0.000000,2.074242,0
Phosphonate and phosphinate metabolism - Homo sapiens (human),2,CHPT1,0.003618,0,0.000000,0.362726,0
Phosphonate and phosphinate metabolism - Homo sapiens (human),3,PCYT2,0.002758,0,0.000000,0.276564,0
Phosphonate and phosphinate metabolism - Homo sapiens (human),4,PCYT1A,0.001515,0,0.000000,0.151909,0
Phosphonate and phosphinate metabolism - Homo sapiens (human),5,CEPT1,0.001366,0,0.000000,0.136924,0
Primary bile acid biosynthesis - Homo sapiens (human),1,CYP7B1,0.422997,1,0.000000,2.305665,1
Primary bile acid biosynthesis - Homo sapiens (human),2,AMACR,0.412174,1,0.000000,1.220559,1
Primary bile acid biosynthesis - Homo sapiens (human),3,CYP46A1,0.408843,1,0.000000,0.886573,1
Primary bile acid biosynthesis - Homo sapiens (human),4,HSD3B7,0.404919,1,0.000000,0.493211,1
Primary bile acid biosynthesis - Homo sapiens (human),5,AKR1D1,0.401136,1,0.000000,0.113862,1
Purine metabolism - Homo sapiens (human),1,PDE1B,0.421496,2,0.001161,2.120274,2
Purine metabolism - Homo sapiens (human),2,PDE6H,0.400351,2,0.000000,0.035151,2
Purine metabolism - Homo sapiens (human),3,PDE6C,0.400000,2,0.000000,0.000000,2
Purine metabolism - Homo sapiens (human),4,GUCY2D,0.400000,2,0.000000,0.000000,2
